STFID,SQ_MILES,POP_DEN,MINORITY_D,POP2000,WHITE,MINORITY,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,min_per,min_pop2,WHITE_DEN,Shape_Leng,Shape_Area,PER_min
"261635075004",0.06799189629,9501.13227037000,8942.24213682000,"646","39","608","591","0","3","0","0","13","1","0",0.00000000000,573.59776864400,1895.26369767000,176011.69799700001,0.93962848297
"261635076003",0.11286431764,4811.08654503000,3535.21829000000,"543","146","401","349","4","2","1","2","39","4","0",0.00000000000,1293.58864747000,2933.91261368000,292168.29789799999,0.73112338858
"261635075001",0.07802376368,7177.30052517000,6613.36976962000,"560","45","516","499","1","2","0","0","13","1","0",0.00000000000,576.74736362900,2259.04682811000,201982.52615399999,0.91964285714
"261635075003",0.10678650036,7407.30333292000,6882.89247749000,"791","59","735","724","1","1","0","0","6","3","0",0.00000000000,552.50429411200,2423.06053819000,276438.46450100001,0.92541087231
"261635080006",0.33127112143,45.28013167940,45.28013167940,"15","0","16","13","0","0","0","1","1","1","0",0.00000000000,0.00000000000,3902.27154069000,857540.66582800006,1.00000000000
"261635381001",0.42600372458,2807.48719085000,2279.32279458000,"1196","240","975","925","1","0","0","4","26","19","0",0.00000000000,563.37535602400,4385.31462225000,1102753.85104999994,0.79933110368
"261635061001",0.12414626823,10866.21466160000,9609.63238788000,"1349","157","1199","1102","0","45","0","6","39","7","0",0.00000000000,1264.63728826000,2394.39145731000,321400.49936199997,0.88361749444
"261635051001",0.10784031204,5072.31469970000,4432.47975586000,"547","71","478","458","1","1","0","0","16","2","0",0.00000000000,658.38088423900,2504.23090796000,279187.66294700000,0.87020109689
"261635390002",0.17199272135,7093.32342931000,7006.11043632000,"1220","18","1208","1179","0","5","1","3","14","6","0",0.00000000000,104.65559158000,2798.95950252000,445212.93893700000,0.98524590164
"261635381002",0.14378308498,8373.72490761000,7629.54835851000,"1204","111","1099","1051","3","9","2","2","26","6","0",0.00000000000,771.99623317600,2545.27852906000,372193.08190500003,0.90780730897
"261635390003",0.12609877593,5686.01871606000,5678.08842497000,"717","4","717","700","0","0","0","1","12","4","0",0.00000000000,31.72116438530,2590.43352724000,326411.80774399999,0.99442119944
"261635390004",0.11984886664,6983.79570440000,6958.76417858000,"837","3","834","830","0","0","0","0","4","0","0",0.00000000000,25.03152582220,2383.01379930000,310232.09840700001,0.99641577061
"261635068006",0.12431499393,6813.33742002000,6338.73658439000,"847","70","789","753","2","4","0","1","17","12","0",0.00000000000,563.08573719200,2417.85909172000,321819.39600600000,0.91735537190
"261635061002",0.24692262953,4264.49370811000,3535.52042467000,"1053","182","879","796","2","33","0","6","34","8","0",0.00000000000,737.07298658700,3205.23308293000,639249.80391999998,0.82716049383
"261635390005",0.08139571373,8096.24941909000,8034.82112304000,"659","2","658","646","1","0","0","4","6","1","0",0.00000000000,24.57131841910,2168.23990188000,210694.14395500001,0.99696509863
"261635391001",0.14110615716,7802.63613005000,7753.02808926000,"1101","8","1095","1062","2","2","0","1","26","2","0",0.00000000000,56.69490376060,2515.73390313000,365253.87528400001,0.99273387829
"261635068001",0.24877687478,2182.67875779000,2017.87244274000,"543","48","502","487","1","3","0","0","4","7","0",0.00000000000,192.94397858900,3256.23418322000,644033.09762100002,0.91160220995
"261635067001",0.35902208306,4398.05815434000,3944.04708457000,"1579","160","1419","1367","10","16","0","3","23","0","0",0.00000000000,445.65503780500,3949.12666587000,929447.63586000004,0.89867004433
"261635068005",0.08620842610,9326.23452703000,8804.24378858000,"804","48","759","751","1","3","0","0","1","3","0",0.00000000000,556.79012101700,2110.46398811000,223172.37636600001,0.94029850746
"261635068004",0.07263197973,11909.35457330000,11303.56081470000,"865","48","821","801","1","0","0","0","15","4","0",0.00000000000,660.86591851900,2020.20051235000,188026.96426899999,0.94450867052
"261635391002",0.10771474508,10193.59047960000,10165.73913940000,"1098","4","1095","1081","0","1","0","0","12","1","0",0.00000000000,37.13512014410,2290.23532188000,278818.63213500002,0.99635701275
"261635068003",0.06523461141,10761.15860690000,9703.43788910000,"702","71","634","623","0","0","0","1","7","3","0",0.00000000000,1088.37928930000,2030.18128773000,168877.51684500001,0.89886039886
"261635392003",0.09288172420,10712.54876600000,10604.88495930000,"995","14","987","955","3","0","0","2","21","6","0",0.00000000000,150.72932937100,1988.19481130000,240421.11240099999,0.98592964824
"261635392002",0.07546180919,8282.33521968000,8202.82480157000,"625","7","620","608","0","2","0","1","7","2","0",0.00000000000,92.76215446040,1801.51180395000,195331.32073199999,0.98880000000
"261635068002",0.08146229788,9415.39853342000,8494.72722963000,"767","80","692","674","3","0","0","0","10","5","0",0.00000000000,982.04939070900,2161.47406542000,210887.89448100000,0.89569752282
"261635392004",0.11916486636,8542.78640280000,8551.17813797000,"1018","8","1023","989","2","3","0","4","12","13","0",0.00000000000,67.13388135800,2360.01673646000,308452.38635300001,0.99214145383
"261635392005",0.12169483487,8389.83841098000,8332.31748162000,"1021","11","1017","998","1","2","0","3","6","7","0",0.00000000000,90.39003185190,2376.52050400000,314999.37492099998,0.98922624878
"261635392008",0.21129995762,4032.18254088000,4003.78688919000,"852","8","846","837","1","0","1","0","5","2","0",0.00000000000,37.86086892850,3226.36001170000,546932.55254499998,0.99061032864
