STFID,WHITE,MINORITY,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC
2.62E+11,27,1437,1405,1,1,0,1,26,3
2.62E+11,32,990,962,6,0,0,5,7,10
2.62E+11,111,935,892,7,1,0,7,24,4
2.62E+11,57,1201,1167,2,0,2,1,10,19
2.62E+11,14,1332,1319,0,1,0,0,10,2
2.62E+11,3,386,383,0,0,1,0,2,0
2.62E+11,11,983,944,1,0,0,4,26,8
2.62E+11,24,1456,1432,4,1,0,0,13,6
2.62E+11,83,947,908,0,1,0,15,13,10
2.62E+11,17,932,921,2,0,0,0,4,5
2.62E+11,23,760,732,3,1,0,3,12,9
2.62E+11,111,877,812,4,0,3,7,35,16
2.62E+11,293,441,379,2,0,0,5,48,7
2.62E+11,126,946,909,0,8,0,6,14,9
2.62E+11,330,651,545,12,2,2,12,47,31
2.62E+11,6,204,200,0,0,0,1,2,1
2.62E+11,24,610,596,0,0,0,2,9,3
2.62E+11,966,41,15,3,8,0,1,9,5
2.62E+11,711,57,5,1,6,0,2,31,12
2.62E+11,957,102,23,0,39,0,0,19,21
2.62E+11,538,18,1,1,1,0,0,5,10
2.62E+11,470,35,22,0,5,0,2,2,4
2.62E+11,1254,74,4,6,20,0,9,15,20
2.62E+11,1030,59,0,5,17,0,5,11,21
2.62E+11,1233,19,0,0,9,0,0,9,1
2.62E+11,1386,40,1,0,18,0,1,10,10
2.62E+11,509,46,3,5,15,0,0,14,9
2.62E+11,1888,140,15,7,20,0,16,28,54
2.62E+11,15,641,612,2,1,0,4,12,10
2.62E+11,758,279,58,5,108,0,12,81,15
2.62E+11,742,440,137,4,160,0,4,128,7
2.62E+11,5,1164,1138,4,0,0,0,19,3
2.62E+11,28,539,519,1,0,0,0,19,0
2.62E+11,0,852,841,3,1,0,1,1,5
2.62E+11,3,1192,1186,1,1,0,0,2,2
2.62E+11,20,741,716,1,0,0,5,4,15
2.62E+11,9,860,838,0,1,0,1,11,9
2.62E+11,33,756,736,0,2,0,3,9,6
2.62E+11,66,684,628,3,18,0,3,23,9
2.62E+11,6,144,136,0,0,0,0,1,7
2.62E+11,317,442,225,4,88,0,9,100,16
2.62E+11,83,1155,1106,8,6,0,2,18,15
2.62E+11,8,842,817,1,6,0,6,9,3
2.62E+11,8,656,639,0,1,0,0,15,1
2.62E+11,796,488,70,3,224,0,40,134,17
2.62E+11,10,384,369,4,0,0,2,4,5
2.62E+11,16,1173,1153,3,0,0,1,12,4
2.62E+11,13,634,607,1,1,0,4,14,7
2.62E+11,7,670,659,0,0,0,4,5,2
2.62E+11,56,855,832,0,1,0,0,16,6
2.62E+11,949,329,47,5,170,0,5,87,15
2.62E+11,5,1652,1586,5,4,0,4,28,25
2.62E+11,9,1230,1177,3,0,0,5,40,5
